algorithm,tau,rho,n_cases
ga,9.003996881237919,0.6222222222222222,270
ga,9.112159001254648,0.6296296296296297,270
ga,9.220321121271375,0.6333333333333333,270
ga,9.328483241288104,0.6333333333333333,270
ga,9.436645361304834,0.6407407407407407,270
ga,9.544807481321563,0.6518518518518519,270
ga,9.65296960133829,0.6518518518518519,270
ga,9.761131721355019,0.662962962962963,270
ga,9.869293841371748,0.6703703703703704,270
ga,9.977455961388477,0.6703703703703704,270
ga,10.085618081405205,0.6777777777777778,270
ga,10.193780201421934,0.6851851851851852,270
ga,10.301942321438663,0.6851851851851852,270
ga,10.410104441455392,0.6888888888888889,270
ga,10.51826656147212,0.6925925925925925,270
ga,10.626428681488848,0.6962962962962963,270
ga,10.734590801505577,0.7,270
ga,10.842752921522306,0.7037037037037037,270
ga,10.950915041539034,0.7074074074074074,270
ga,11.059077161555763,0.7074074074074074,270
ga,11.167239281572492,0.7148148148148148,270
ga,11.275401401589221,0.7185185185185186,270
ga,11.383563521605948,0.7185185185185186,270
ga,11.491725641622677,0.7222222222222222,270
ga,11.599887761639406,0.7296296296296296,270
ga,11.708049881656134,0.7333333333333333,270
ga,11.816212001672863,0.7407407407407407,270
ga,11.924374121689592,0.7481481481481481,270
ga,12.032536241706321,0.7518518518518519,270
ga,12.140698361723048,0.7555555555555555,270
ga,12.248860481739777,0.7555555555555555,270
ga,12.357022601756507,0.7592592592592593,270
ga,12.465184721773236,0.7666666666666667,270
ga,12.573346841789963,0.7703703703703704,270
ga,12.681508961806692,0.7777777777777778,270
ga,12.789671081823421,0.7814814814814814,270
ga,12.89783320184015,0.7851851851851852,270
ga,13.005995321856878,0.7888888888888889,270
ga,13.114157441873607,0.7925925925925926,270
ga,13.222319561890336,0.8037037037037037,270
ga,13.330481681907065,0.8037037037037037,270
ga,13.438643801923792,0.8037037037037037,270
ga,13.546805921940521,0.8074074074074075,270
ga,13.65496804195725,0.8148148148148148,270
ga,13.76313016197398,0.8148148148148148,270
ga,13.871292281990707,0.8185185185185185,270
ga,13.979454402007436,0.8222222222222222,270
ga,14.087616522024165,0.8222222222222222,270
ga,14.195778642040894,0.8222222222222222,270
ga,14.303940762057621,0.8222222222222222,270
ga,14.41210288207435,0.8333333333333334,270
ga,14.52026500209108,0.8333333333333334,270
ga,14.628427122107809,0.8333333333333334,270
ga,14.736589242124536,0.837037037037037,270
ga,14.844751362141265,0.837037037037037,270
ga,14.952913482157994,0.837037037037037,270
ga,15.061075602174721,0.837037037037037,270
ga,15.16923772219145,0.837037037037037,270
ga,15.27739984220818,0.837037037037037,270
ga,15.385561962224909,0.837037037037037,270
ga,15.493724082241636,0.837037037037037,270
ga,15.601886202258365,0.837037037037037,270
ga,15.710048322275094,0.837037037037037,270
ga,15.818210442291823,0.8407407407407408,270
ga,15.92637256230855,0.8407407407407408,270
ga,16.03453468232528,0.8407407407407408,270
ga,16.14269680234201,0.8444444444444444,270
ga,16.250858922358738,0.8444444444444444,270
ga,16.359021042375467,0.8444444444444444,270
ga,16.467183162392196,0.8481481481481481,270
ga,16.575345282408925,0.8518518518518519,270
ga,16.683507402425654,0.8555555555555555,270
ga,16.79166952244238,0.8555555555555555,270
ga,16.89983164245911,0.8555555555555555,270
ga,17.007993762475838,0.8555555555555555,270
ga,17.116155882492567,0.8555555555555555,270
ga,17.224318002509296,0.8555555555555555,270
ga,17.332480122526025,0.8555555555555555,270
ga,17.44064224254275,0.8629629629629629,270
ga,17.54880436255948,0.8629629629629629,270
ga,17.65696648257621,0.8629629629629629,270
ga,17.765128602592938,0.8629629629629629,270
ga,17.873290722609667,0.8629629629629629,270
ga,17.981452842626396,0.8666666666666667,270
ga,18.089614962643125,0.8666666666666667,270
ga,18.197777082659854,0.8703703703703703,270
ga,18.30593920267658,0.8703703703703703,270
ga,18.41410132269331,0.8703703703703703,270
ga,18.522263442710038,0.8703703703703703,270
ga,18.630425562726767,0.8703703703703703,270
ga,18.738587682743496,0.8703703703703703,270
ga,18.846749802760225,0.8703703703703703,270
ga,18.954911922776954,0.8703703703703703,270
ga,19.06307404279368,0.8703703703703703,270
ga,19.17123616281041,0.8703703703703703,270
ga,19.279398282827138,0.8703703703703703,270
ga,19.387560402843867,0.8740740740740741,270
ga,19.495722522860596,0.8740740740740741,270
ga,19.603884642877325,0.8740740740740741,270
ga,19.712046762894055,0.8740740740740741,270
ga,19.820208882910784,0.8740740740740741,270
ga,19.92837100292751,0.8740740740740741,270
ga,20.03653312294424,0.8740740740740741,270
ga,20.144695242960967,0.8777777777777778,270
ga,20.252857362977696,0.8777777777777778,270
ga,20.361019482994426,0.8851851851851852,270
ga,20.469181603011155,0.8851851851851852,270
ga,20.577343723027884,0.8851851851851852,270
ga,20.685505843044613,0.8851851851851852,270
ga,20.79366796306134,0.8888888888888888,270
ga,20.901830083078067,0.8925925925925926,270
ga,21.009992203094797,0.8962962962962963,270
